frames,hit-ratio,policy
5,0.0478333,random
5,0.22,optimal
5,0.0478333,nru
5,0.0476667,fifo
5,0.048,fifo2
5,0.0483333,clock
5,0.0476667,lru
5,0.0508333,nfu
5,0.0538333,workingset
5,0.0473333,aging
5,0.0466667,wsclock
10,0.093,random
10,0.3455,optimal
10,0.098,nru
10,0.0996667,fifo
10,0.100667,fifo2
10,0.1,clock
10,0.099,lru
10,0.100833,nfu
10,0.100167,workingset
10,0.101,aging
10,0.097,wsclock
15,0.145167,random
15,0.440667,optimal
15,0.149667,nru
15,0.144,fifo
15,0.146333,fifo2
15,0.145667,clock
15,0.145,lru
15,0.151667,nfu
15,0.149333,workingset
15,0.146,aging
15,0.147,wsclock
20,0.197833,random
20,0.515833,optimal
20,0.199833,nru
20,0.204167,fifo
20,0.192167,fifo2
20,0.2025,clock
20,0.198833,lru
20,0.2065,nfu
20,0.189667,workingset
20,0.196333,aging
20,0.192167,wsclock
25,0.245333,random
25,0.577333,optimal
25,0.251833,nru
25,0.2465,fifo
25,0.249833,fifo2
25,0.247333,clock
25,0.251167,lru
25,0.261333,nfu
25,0.241833,workingset
25,0.248833,aging
25,0.249833,wsclock
30,0.304167,random
30,0.6295,optimal
30,0.299,nru
30,0.301167,fifo
30,0.2945,fifo2
30,0.298667,clock
30,0.286833,lru
30,0.310667,nfu
30,0.290333,workingset
30,0.292,aging
30,0.2945,wsclock
35,0.342833,random
35,0.675,optimal
35,0.348333,nru
35,0.3525,fifo
35,0.340167,fifo2
35,0.347,clock
35,0.348333,lru
35,0.356667,nfu
35,0.341,workingset
35,0.3415,aging
35,0.340167,wsclock
40,0.395667,random
40,0.715167,optimal
40,0.402833,nru
40,0.393833,fifo
40,0.392833,fifo2
40,0.3975,clock
40,0.396833,lru
40,0.407,nfu
40,0.397,workingset
40,0.403833,aging
40,0.392833,wsclock
45,0.4515,random
45,0.751833,optimal
45,0.454167,nru
45,0.438667,fifo
45,0.446667,fifo2
45,0.444667,clock
45,0.446,lru
45,0.4545,nfu
45,0.446833,workingset
45,0.451167,aging
45,0.446667,wsclock
50,0.4785,random
50,0.7835,optimal
50,0.506333,nru
50,0.501667,fifo
50,0.503667,fifo2
50,0.492833,clock
50,0.494,lru
50,0.504167,nfu
50,0.494167,workingset
50,0.498833,aging
50,0.503667,wsclock
55,0.542667,random
55,0.812333,optimal
55,0.552,nru
55,0.553,fifo
55,0.556167,fifo2
55,0.5445,clock
55,0.553833,lru
55,0.5555,nfu
55,0.529667,workingset
55,0.549833,aging
55,0.556167,wsclock
60,0.593833,random
60,0.840667,optimal
60,0.595167,nru
60,0.597333,fifo
60,0.601167,fifo2
60,0.596,clock
60,0.605167,lru
60,0.602833,nfu
60,0.567833,workingset
60,0.604833,aging
60,0.601167,wsclock
65,0.639,random
65,0.863667,optimal
65,0.648333,nru
65,0.651167,fifo
65,0.6505,fifo2
65,0.647333,clock
65,0.649167,lru
65,0.653167,nfu
65,0.636167,workingset
65,0.652833,aging
65,0.6505,wsclock
70,0.679333,random
70,0.881833,optimal
70,0.696833,nru
70,0.692833,fifo
70,0.701333,fifo2
70,0.693167,clock
70,0.701,lru
70,0.702667,nfu
70,0.710667,workingset
70,0.698333,aging
70,0.701333,wsclock
75,0.724167,random
75,0.900167,optimal
75,0.742,nru
75,0.7435,fifo
75,0.7465,fifo2
75,0.738333,clock
75,0.745167,lru
75,0.745,nfu
75,0.7415,workingset
75,0.746667,aging
75,0.7465,wsclock
80,0.791167,random
80,0.913833,optimal
80,0.788333,nru
80,0.794167,fifo
80,0.790333,fifo2
80,0.783333,clock
80,0.791833,lru
80,0.7925,nfu
80,0.787667,workingset
80,0.794667,aging
80,0.790333,wsclock
85,0.825833,random
85,0.9265,optimal
85,0.839167,nru
85,0.8505,fifo
85,0.8395,fifo2
85,0.842167,clock
85,0.836167,lru
85,0.8435,nfu
85,0.811,workingset
85,0.8405,aging
85,0.8395,wsclock
90,0.865833,random
90,0.9345,optimal
90,0.886167,nru
90,0.890167,fifo
90,0.888667,fifo2
90,0.889333,clock
90,0.888,lru
90,0.8885,nfu
90,0.8495,workingset
90,0.889833,aging
90,0.888667,wsclock
95,0.891833,random
95,0.931,optimal
95,0.936333,nru
95,0.9395,fifo
95,0.938667,fifo2
95,0.941667,clock
95,0.938667,lru
95,0.942833,nfu
95,0.935,workingset
95,0.937667,aging
95,0.938667,wsclock
100,0.915333,random
100,0.915333,optimal
100,0.983333,nru
100,0.983333,fifo
100,0.983333,fifo2
100,0.983333,clock
100,0.983333,lru
100,0.983333,nfu
100,0.973167,workingset
100,0.983333,aging
100,0.983333,wsclock
